MapName,PrimaryState,MapScale,DateOnMap,ImprintYear,LinktoMetadata,EditYear,PhotoRevisionYear,NoWoodlandTint,VisualVersionNumber,AerialPhotoYear,FieldCheckYear,PhotoInspectionYear,SurveyYear,Datum,Projection,Advance,Preliminary,Provisional,Interim,Planimetric,SpecialPrinting,SpecialMap,ShadedRelief,Orthophoto,PubUsgs,PubArmyCorpEng,PubArmyMap,PubWarDept,PubMilitaryOther,PubForestServ,PubReclamation,PubBurLandMgmt,PubNatlParkServ,PubIndianAffairs,PubEpa,PubTennValleyAuth,PubUscommerce,Keywords,MapLanguage,DownloadGeoPDF
Aberdeen,CA,24000,1985,1985,287761,1985,,N,,1978,1980,,,NAD27,Universal Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507045&quad=Aberdeen&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aberdeen,CA,24000,1985,1985,302191,1985,,Y,,1978,1980,,,NAD27,Universal Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507047&quad=Aberdeen&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aberdeen,CA,24000,1994,1994,302193,,,N,,1992,,1992,,NAD27,Universal Transverse Mercator,N,N,Y,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507049&quad=Aberdeen&state=CA&grid=7.5X7.5&series=Map GeoPDF
Aberdeen,CA,24000,1994,1997,100353,,,N,,1993,1994,,,NAD27,Lambert Conformal Conic,N,N,N,N,N,N,N,N,,N,N,N,N,,Y,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507043&quad=Aberdeen&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1947,,287765,,,N,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507053&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1947,,302195,,,Y,,,,,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507059&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1964,1965,287766,,,N,,1962,1964,,,NAD27,Polyconic,N,N,N,N,Y,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507055&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1964,1965,302197,,,Y,,1962,1964,,,NAD27,Polyconic,N,N,N,N,Y,Y,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507061&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1964,1978,287767,,,N,,1962,1964,1973,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507057&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
Academy,CA,24000,1964,1990,287764,,,N,,1962,1964,1978,,NAD27,Polyconic,N,N,N,N,N,N,N,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,,English,http://ims.er.usgs.gov/gda_services/download?item_id=5507051&quad=Academy&state=CA&grid=7.5X7.5&series=Map GeoPDF
